"","airport1","airport2","airline","cnt"
"599","JAC","EWR","UA",25.5
"600","OKC","DEN","UA",25.5
"601","ONT","SFO","UA",25
"602","SFO","ONT","UA",24.9090909090909
"603","PBI","IAH","UA",24.8888888888889
"604","IAH","PBI","UA",24.7777777777778
"605","BZN","EWR","UA",24.625
"606","EWR","BZN","UA",24.625
"607","EWR","PSP","UA",24.6
"608","PSP","EWR","UA",24.6
"609","MSP","SFO","UA",24.5
"610","MFR","SFO","UA",24.3333333333333
"611","TUS","DEN","UA",24.3333333333333
"612","BZN","SFO","UA",24.2
"613","SFO","BZN","UA",24.2
"614","IAD","MCI","UA",24.1428571428571
"615","MCI","IAD","UA",24.1428571428571
"616","DEN","FSD","UA",24.0909090909091
"617","FSD","DEN","UA",24.0909090909091
"618","EWR","PIT","UA",24.0833333333333
"619","PIT","EWR","UA",24.0833333333333
"620","SFO","MFR","UA",24.0833333333333
"621","DEN","MFR","UA",23.7777777777778
"622","SLC","SFO","UA",23.75
"623","ITO","LAX","UA",23.6666666666667
"624","LAX","ITO","UA",23.6666666666667
"625","EWR","SMF","UA",23.4545454545455
"626","TUL","DEN","UA",23.4166666666667
"627","SMF","EWR","UA",23.3636363636364
"628","DEN","TUL","UA",23.25
"629","HDN","IAH","UA",23.25
"630","IAH","HDN","UA",23.25
"631","ORD","RAP","UA",23.2
"632","RAP","ORD","UA",23.2
"633","EWR","MYR","UA",22.8571428571429
"634","MYR","EWR","UA",22.8571428571429
"635","FAI","ORD","UA",22.7142857142857
"636","ORD","FAI","UA",22.7142857142857
"637","ORD","RNO","UA",22.6666666666667
"638","CLT","DEN","UA",22.6
"639","RNO","ORD","UA",22.5555555555556
"640","ANC","SFO","UA",22.5
"641","ANC","IAH","UA",22.25
"642","EGE","IAH","UA",22.25
"643","EWR","SAV","UA",22.25
"644","IAH","ANC","UA",22.25
"645","IAH","EGE","UA",22.25
"646","SAV","EWR","UA",22.25
"647","SFO","ANC","UA",22.25
"648","EWR","SRQ","UA",22.2222222222222
"649","MYR","ORD","UA",22.2
"650","ORD","MYR","UA",22.2
"651","IAD","STT","UA",22
"652","SRQ","EWR","UA",22
"653","STT","IAD","UA",22
"654","IAH","STL","UA",21.4
"655","EWR","JAX","UA",21.1428571428571
"656","SFO","MSP","UA",21.1428571428571
"657","MCI","EWR","UA",21
"658","BUF","EWR","UA",20.7142857142857
"659","JAX","ORD","UA",20.6
"660","IAH","CLT","UA",20.5833333333333
"661","ORD","CLT","UA",20.3333333333333
"662","DEN","RDM","UA",20.2857142857143
"663","RDM","DEN","UA",20.2857142857143
"664","ANC","EWR","UA",20.25
"665","EWR","ANC","UA",20.25
"666","DEN","RIC","UA",20.125
"667","STL","IAH","UA",19.3636363636364
"668","EWR","MCI","UA",19.3333333333333
"669","ROC","EWR","UA",19.1666666666667
"670","CLT","ORD","UA",19
"671","EWR","ROC","UA",19
"672","FCA","ORD","UA",19
"673","IAD","ORF","UA",19
"674","ORD","FCA","UA",19
"675","ORF","IAD","UA",18.9090909090909
"676","ORD","TUS","UA",18.8571428571429
